Date|Contact|Amount|Reference
/Date(1460246400000+0000)/|Unit B|3800.0|
/Date(1460246400000+0000)/|Unit A|2220.0|
/Date(1460246400000+0000)/|Unit B|728.88|
/Date(1460246400000+0000)/|Unit A|728.88|
/Date(1460419200000+0000)/|Unit E|1387.0|
/Date(1461024000000+0000)/|Unt F|14000.0|
/Date(1461024000000+0000)/|Unit F|1000.0|
/Date(1461542400000+0000)/|Unit A|724.08|
/Date(1462665600000+0000)/|Unit A|2784.93|
/Date(1462665600000+0000)/|Unit D|2995.91|
/Date(1462665600000+0000)/|Unit D|784.0|
/Date(1462665600000+0000)/|Unit D|14000.0|
/Date(1462665600000+0000)/|Unit D|1000.0|
/Date(1462665600000+0000)/|Unit B|1000.0|
/Date(1462665600000+0000)/|Unit A|1000.0|
/Date(1462665600000+0000)/|Unit A|13000.0|
/Date(1462752000000+0000)/|Unit C|13000.0|
/Date(1462752000000+0000)/|Unit C|1000.0|
/Date(1462752000000+0000)/|Unit C|905.1|
/Date(1462752000000+0000)/|Unit C|3249.92|
/Date(1462752000000+0000)/|Unit B|844.76|
/Date(1462752000000+0000)/|Unit B|4768.14|
/Date(1462752000000+0000)/|Unit E|9747.27|
/Date(1462752000000+0000)/|Unit E|14000.0|
/Date(1462752000000+0000)/|Unit E|1000.0|
/Date(1462752000000+0000)/|Unit E|1380.0|
/Date(1462752000000+0000)/|Unit B|14000.0|
/Date(1462752000000+0000)/|Unit A|720.0|
/Date(1463097600000+0000)/|Unit F|422.0|
/Date(1463097600000+0000)/|Unit F|369.21|
/Date(1463529600000+0000)/|Unt F|14000.0|
/Date(1463529600000+0000)/|Unit F|1000.0|
/Date(1464652800000+0000)/|Unit D|2250.0|
/Date(1464652800000+0000)/|Unit D|780.0|
/Date(1464652800000+0000)/|Unit A|2630.0|
/Date(1464825600000+0000)/|Unit D|1000.0|
/Date(1464825600000+0000)/|Unit D|14000.0|
/Date(1464912000000+0000)/|Unit E|9520.0|
/Date(1464912000000+0000)/|Unit E|1000.0|
/Date(1464912000000+0000)/|Unit E|14000.0|
/Date(1464998400000+0000)/|Unit C|3190.0|
/Date(1464998400000+0000)/|Unit C|900.0|
/Date(1464998400000+0000)/|Unit C|1000.0|
/Date(1464998400000+0000)/|Unit C|13000.0|
/Date(1465430400000+0000)/|Unit B|14000.0|
/Date(1465430400000+0000)/|Unit B|1000.0|
/Date(1465430400000+0000)/|Unit B|4380.0|
/Date(1465430400000+0000)/|Unit B|780.0|
/Date(1465430400000+0000)/|Unit A|1000.0|
/Date(1465430400000+0000)/|Unit A|13000.0|
/Date(1465516800000+0000)/|Unit F|1000.0|
/Date(1465516800000+0000)/|Unt F|14000.0|
/Date(1465516800000+0000)/|Unit F|534.0|
/Date(1465516800000+0000)/|Unit F|360.0|
/Date(1465516800000+0000)/|Unit F|760.0|
/Date(1465948800000+0000)/|Unit E|2823.0|
/Date(1467417600000+0000)/|Unit D|1068.0|
/Date(1467417600000+0000)/|Unit C|686.0|
/Date(1467417600000+0000)/|Unit C|1000.0|
/Date(1467417600000+0000)/|Unit C|13000.0|
/Date(1467417600000+0000)/|Unit C|3871.18|
/Date(1467417600000+0000)/|Unit E|8763.27|
/Date(1467417600000+0000)/|Unit D|2406.18|
/Date(1467417600000+0000)/|Unit E|1000.0|
/Date(1467417600000+0000)/|Unit D|1000.0|
/Date(1467417600000+0000)/|Unit E|14000.0|
/Date(1467417600000+0000)/|Unit D|14000.0|
/Date(1467590400000+0000)/|Unit F|1019.9|
/Date(1467849600000+0000)/|Unit F|1000.0|
/Date(1467849600000+0000)/|Unit B|1000.0|
/Date(1467849600000+0000)/|Unit B|14000.0|
/Date(1467849600000+0000)/|Unt F|14000.0|
/Date(1467849600000+0000)/|Unit B|4554.92|
/Date(1467849600000+0000)/|Unit B|992.0|
/Date(1467849600000+0000)/|Unit E|1512.0|
/Date(1467849600000+0000)/|Unit A|1000.0|
/Date(1467849600000+0000)/|Unit A|13000.0|
/Date(1467849600000+0000)/|Unit A|915.72|
/Date(1467849600000+0000)/|Unit A|2495.0|
/Date(1467849600000+0000)/|Unit F|693.0|
/Date(1470009600000+0000)/|Unit F|1000.0|
/Date(1470009600000+0000)/|Unt F|14000.0|
/Date(1470182400000+0000)/|Unit F|1192.0|
/Date(1470182400000+0000)/|Unit E|8399.0|
/Date(1470182400000+0000)/|Unit D|819.0|
/Date(1470182400000+0000)/|Unit D|2156.0|
/Date(1470182400000+0000)/|Unit C|3857.0|
/Date(1470182400000+0000)/|Unit C|945.0|
/Date(1470182400000+0000)/|Unit C|1000.0|
/Date(1470182400000+0000)/|Unit C|13000.0|
/Date(1470182400000+0000)/|Unit E|14000.0|
/Date(1470182400000+0000)/|Unit D|1000.0|
/Date(1470182400000+0000)/|Unit D|14000.0|
/Date(1470182400000+0000)/|Unit E|1000.0|
/Date(1470528000000+0000)/|Unit B|4521.0|
/Date(1470528000000+0000)/|Unit B|819.0|
/Date(1470528000000+0000)/|Unit B|14000.0|
/Date(1470528000000+0000)/|Unit B|1000.0|
/Date(1470528000000+0000)/|Unit A|1000.0|
/Date(1470528000000+0000)/|Unit A|13000.0|
/Date(1471132800000+0000)/|Unit A|5402.0|
/Date(1471132800000+0000)/|Unit A|1134.0|
/Date(1472774400000+0000)/|Unt F|14000.0|
/Date(1472774400000+0000)/|Unit F|1000.0|
/Date(1472774400000+0000)/|Unit F|1594.8|
/Date(1472774400000+0000)/|Unit F|1024.0|
/Date(1472774400000+0000)/|Unit D|14000.0|
/Date(1472774400000+0000)/|Unit D|1000.0|
/Date(1472774400000+0000)/|Unit D|896.0|
/Date(1472774400000+0000)/|Unit D|2092.54|
/Date(1472774400000+0000)/|Unit C|13000.0|
/Date(1472774400000+0000)/|Unit C|1000.0|
/Date(1472774400000+0000)/|Unit C|832.0|
/Date(1472774400000+0000)/|Unit C|3291.19|
/Date(1473552000000+0000)/|Unit B|896.0|
/Date(1473552000000+0000)/|Unit E|1664.0|
/Date(1473552000000+0000)/|Unit A|5475.16|
/Date(1473552000000+0000)/|Unit B|4398.4|
/Date(1473552000000+0000)/|Unit E|1000.0|
/Date(1473552000000+0000)/|Unit E|8116.24|
/Date(1473552000000+0000)/|Unit E|14000.0|
/Date(1473552000000+0000)/|Unit B|1000.0|
/Date(1473552000000+0000)/|Unit A|1000.0|
/Date(1473552000000+0000)/|Unit B|14000.0|
/Date(1473552000000+0000)/|Unit A|13000.0|
/Date(1474761600000+0000)/|Unit A|2048.0|
/Date(1475452800000+0000)/|Unit C|13000.0|
/Date(1475452800000+0000)/|Unit C|1000.0|
/Date(1475452800000+0000)/|Unit D|819.0|
/Date(1475452800000+0000)/|Unit D|2265.0|
/Date(1475452800000+0000)/|Unit C|882.0|
/Date(1475452800000+0000)/|Unit C|3319.0|
/Date(1475452800000+0000)/|Unit D|14000.0|
/Date(1475452800000+0000)/|Unit D|1000.0|
/Date(1475452800000+0000)/|Unit C|13000.0|
/Date(1475452800000+0000)/|Unit C|1000.0|
/Date(1475712000000+0000)/|Unit E|14000.0|
/Date(1475712000000+0000)/|Unit E|1000.0|
/Date(1475712000000+0000)/|Unt F|14000.0|
/Date(1475712000000+0000)/|Unit F|1000.0|
/Date(1475712000000+0000)/|Unit E|8408.0|
/Date(1475712000000+0000)/|Unit E|1701.0|
/Date(1475712000000+0000)/|Unit F|1197.0|
/Date(1475712000000+0000)/|Unit F|1722.0|
/Date(1476835200000+0000)/|Unit A|13000.0|
/Date(1476835200000+0000)/|Unit B|14000.0|
/Date(1476835200000+0000)/|Unit B|1000.0|
/Date(1476835200000+0000)/|Unit B|4562.0|
/Date(1476835200000+0000)/|Unit A|2651.0|
/Date(1476835200000+0000)/|Unit B|819.0|
/Date(1476835200000+0000)/|Unit A|1000.0|
/Date(1478044800000+0000)/|Unit F|1000.0|
/Date(1478044800000+0000)/|Unt F|14000.0|
/Date(1478044800000+0000)/|Unit F|992.0|
/Date(1478044800000+0000)/|Unit E|1550.0|
/Date(1478044800000+0000)/|Unit E|14000.0|
/Date(1478044800000+0000)/|Unit E|1000.0|
/Date(1478044800000+0000)/|Unit E|7410.0|
/Date(1478044800000+0000)/|Unit D|1000.0|
/Date(1478044800000+0000)/|Unit D|14000.0|
/Date(1478044800000+0000)/|Unit D|806.0|
/Date(1478044800000+0000)/|Unit D|2040.0|
/Date(1478131200000+0000)/|Unit C|3040.0|
/Date(1478131200000+0000)/|Unit C|13000.0|
/Date(1478131200000+0000)/|Unit C|682.0|
/Date(1478131200000+0000)/|Unit C|1000.0|
/Date(1478736000000+0000)/|Unit A|693.0|
/Date(1478995200000+0000)/|Unit A|1000.0|
/Date(1478995200000+0000)/|Unit A|1197.0|
/Date(1478995200000+0000)/|Unit A|1980.0|
/Date(1478995200000+0000)/|Unit A|558.0|
/Date(1478995200000+0000)/|Unit A|13000.0|
/Date(1478995200000+0000)/|Unit B|4260.0|
/Date(1478995200000+0000)/|Unit B|930.0|
/Date(1478995200000+0000)/|Unit F|1420.0|
/Date(1478995200000+0000)/|Unit B|14000.0|
/Date(1478995200000+0000)/|Unit B|1000.0|
/Date(1480809600000+0000)/|Unit E|8460.0|
/Date(1480809600000+0000)/|Unit E|1827.0|
/Date(1480809600000+0000)/|Unit D|2210.0|
/Date(1480809600000+0000)/|Unit D|882.0|
/Date(1480809600000+0000)/|Unit C|3360.0|
/Date(1480809600000+0000)/|Unit C|819.0|
/Date(1480809600000+0000)/|Unit C|13000.0|
/Date(1480809600000+0000)/|Unit C|1000.0|
/Date(1480809600000+0000)/|Unit D|1000.0|
/Date(1480809600000+0000)/|Unit E|1000.0|
/Date(1480809600000+0000)/|Unit E|14000.0|
/Date(1480809600000+0000)/|Unit D|14000.0|
/Date(1481068800000+0000)/|Unit F|1000.0|
/Date(1481068800000+0000)/|Unit F|378.0|
/Date(1481068800000+0000)/|Unit F|1290.0|
/Date(1481068800000+0000)/|Unt F|14000.0|
/Date(1481068800000+0000)/|Unit B|1000.0|
/Date(1481068800000+0000)/|Unit B|4470.0|
/Date(1481068800000+0000)/|Unit B|14000.0|
/Date(1481068800000+0000)/|Unit B|819.0|
/Date(1481328000000+0000)/|Reversal - BIR Aug 14 and QTR tax Aug 15|2630.03|
/Date(1481414400000+0000)/|Unit A|1780.0|
/Date(1481414400000+0000)/|Unit A|1000.0|
/Date(1481414400000+0000)/|Unit A|13000.0|
/Date(1483142400000+0000)/|Unit C|3060.0|
/Date(1483142400000+0000)/|Unit C|882.0|
/Date(1483315200000+0000)/|Unit C|13000.0|
/Date(1483315200000+0000)/|Unit C|1000.0|
/Date(1483315200000+0000)/|Unit D|693.0|
/Date(1483315200000+0000)/|Unit D|2030.0|
/Date(1483315200000+0000)/|Unit D|1000.0|
/Date(1483315200000+0000)/|Unit D|14000.0|
/Date(1483488000000+0000)/|Unit E|1000.0|
/Date(1483488000000+0000)/|Unit E|14000.0|
/Date(1483488000000+0000)/|Unit E|7010.0|
/Date(1483488000000+0000)/|Unit E|1323.0|
/Date(1483574400000+0000)/|Unt F|14000.0|
/Date(1483574400000+0000)/|Unit F|1000.0|
/Date(1483574400000+0000)/|Unit F|850.0|
/Date(1483574400000+0000)/|Unit F|1575.0|
/Date(1484956800000+0000)/|Unit B|1000.0|
/Date(1484956800000+0000)/|Unit A|1000.0|
/Date(1484956800000+0000)/|Unit B|14000.0|
/Date(1484956800000+0000)/|Unit A|13000.0|
/Date(1484956800000+0000)/|Unit B|4020.0|
/Date(1484956800000+0000)/|Unit A|1590.0|
/Date(1484956800000+0000)/|Unit A|504.0|
/Date(1484956800000+0000)/|Unit B|1134.0|
/Date(1485993600000+0000)/|Unit C|732.0|
/Date(1485993600000+0000)/|Unit C|2270.0|
/Date(1485993600000+0000)/|Unit C|1000.0|
/Date(1485993600000+0000)/|Unit C|13000.0|
/Date(1485993600000+0000)/|Unit D|793.0|
/Date(1485993600000+0000)/|Unit D|2570.0|
/Date(1485993600000+0000)/|Unit D|1000.0|
/Date(1485993600000+0000)/|Unit D|14000.0|
/Date(1485993600000+0000)/|Unit E|1403.0|
/Date(1485993600000+0000)/|Unit F|549.0|
/Date(1485993600000+0000)/|Unit F|1030.0|
/Date(1486166400000+0000)/|Unit E|14000.0|
/Date(1486166400000+0000)/|Unit E|1000.0|
/Date(1486166400000+0000)/|Unit E|8030.0|
/Date(1486512000000+0000)/|Unt F|14000.0|
/Date(1486512000000+0000)/|Unit F|1000.0|
/Date(1486512000000+0000)/|Unit A|671.0|
/Date(1486512000000+0000)/|Unit A|1910.0|
/Date(1486512000000+0000)/|Unit B|4060.0|
/Date(1486512000000+0000)/|Unit B|793.0|
/Date(1486512000000+0000)/|Unit A|1000.0|
/Date(1486512000000+0000)/|Unit A|13000.0|
/Date(1486512000000+0000)/|Unit B|1000.0|
/Date(1486512000000+0000)/|Unit B|14000.0|
/Date(1488758400000+0000)/|Unit F|1469.22|
/Date(1488758400000+0000)/|Unit F|922.5|
/Date(1488758400000+0000)/|Unit E|7533.68|
/Date(1488758400000+0000)/|Unit E|1414.5|
/Date(1488758400000+0000)/|Unit D|2292.4|
/Date(1488758400000+0000)/|Unit D|861.0|
/Date(1488758400000+0000)/|Unit C|3167.68|
/Date(1488758400000+0000)/|Unit C|861.0|
/Date(1488758400000+0000)/|Unit F|1000.0|
/Date(1488758400000+0000)/|Unit D|14000.0|
/Date(1488758400000+0000)/|Unit D|1000.0|
/Date(1488758400000+0000)/|Unit C|1000.0|
/Date(1488758400000+0000)/|Unit C|13000.0|
/Date(1488758400000+0000)/|Unt F|14000.0|
/Date(1488758400000+0000)/|Unit E|1000.0|
/Date(1488758400000+0000)/|Unit E|14000.0|
/Date(1488844800000+0000)/|Unit B|4042.92|
/Date(1488844800000+0000)/|Unit B|799.5|
/Date(1488844800000+0000)/|Unit B|14000.0|
/Date(1488844800000+0000)/|Unit B|1000.0|
/Date(1491177600000+0000)/|Unit C|3454.0|
/Date(1491177600000+0000)/|Unit C|780.0|
/Date(1491177600000+0000)/|Unit D|600.0|
/Date(1491177600000+0000)/|Unit D|2431.0|
/Date(1491177600000+0000)/|Unit E|1260.0|
/Date(1491177600000+0000)/|Unit E|7975.0|
/Date(1491177600000+0000)/|Unit C|1000.0|
/Date(1491177600000+0000)/|Unit C|13000.0|
/Date(1491177600000+0000)/|Unit D|1000.0|
/Date(1491177600000+0000)/|Unit D|14000.0|
/Date(1491177600000+0000)/|Unit E|1000.0|
/Date(1491177600000+0000)/|Unit E|14000.0|
/Date(1491264000000+0000)/|sales for mistake 5000|5000.0|miskate to 5000 doube payment pepe
/Date(1491350400000+0000)/|Unit B|4697.0|
/Date(1491350400000+0000)/|Unit B|780.0|
/Date(1491350400000+0000)/|Unit F|1551.0|
/Date(1491350400000+0000)/|Unit F|960.0|
/Date(1491350400000+0000)/|Unit B|1000.0|
/Date(1491350400000+0000)/|Unit B|14000.0|
/Date(1491350400000+0000)/|Unit F|1000.0|
/Date(1491350400000+0000)/|Unt F|14000.0|
/Date(1491782400000+0000)/|Unit A|1458.8|
/Date(1491782400000+0000)/|Unit A|676.5|
/Date(1491782400000+0000)/|Unit A|480.0|
/Date(1493856000000+0000)/|Unit D|3264.0|
/Date(1493856000000+0000)/|Unit D|744.0|
/Date(1493856000000+0000)/|Unit C|4152.0|
/Date(1493856000000+0000)/|Unit C|992.0|
/Date(1493856000000+0000)/|Unit F|1536.0|
/Date(1493856000000+0000)/|Unit F|930.0|
/Date(1493856000000+0000)/|Unit F|1000.0|
/Date(1493856000000+0000)/|Unit D|1000.0|
/Date(1493856000000+0000)/|Unit C|1000.0|
/Date(1493856000000+0000)/|Unit C|13650.0|
/Date(1493856000000+0000)/|Unt F|14700.0|
/Date(1493856000000+0000)/|Unit D|14700.0|
/Date(1494547200000+0000)/|Unit B|930.0|
/Date(1494547200000+0000)/|Unit B|5580.0|
/Date(1494547200000+0000)/|Unit E|9660.0|
/Date(1494547200000+0000)/|Unit E|1488.0|
/Date(1494547200000+0000)/|Unit B|14700.0|
/Date(1494547200000+0000)/|Unit B|1000.0|
/Date(1494547200000+0000)/|Unit E|1000.0|
/Date(1494547200000+0000)/|Unit E|14700.0|
/Date(1495497600000+0000)/|1 month advance 2 months deposit|51000.0|
/Date(1496361600000+0000)/|Unit D|4191.0|
/Date(1496361600000+0000)/|Unit D|933.0|
/Date(1496361600000+0000)/|Unit D|14750.0|
/Date(1496361600000+0000)/|Unit D|1000.0|
/Date(1496620800000+0000)/|Unit B|2100.0|
/Date(1496620800000+0000)/|Unit D|2100.0|
/Date(1496620800000+0000)/|Unit E|2100.0|
/Date(1496707200000+0000)/|Unit E|1000.0|
/Date(1496707200000+0000)/|Unit F|1000.0|
/Date(1496707200000+0000)/|Unt F|14750.0|
/Date(1496707200000+0000)/|Unit E|14750.0|
/Date(1496707200000+0000)/|Unit E|1306.0|
/Date(1496707200000+0000)/|Unit E|9515.0|
/Date(1496707200000+0000)/|Unit F|1419.0|
/Date(1496707200000+0000)/|Unit F|995.2|
/Date(1496707200000+0000)/|Unit F|2100.0|
/Date(1496707200000+0000)/|Unit C|870.8|
/Date(1496707200000+0000)/|Unit C|5038.0|
/Date(1496707200000+0000)/|Unit C|1950.0|
/Date(1496707200000+0000)/|Unit C|1000.0|
/Date(1496707200000+0000)/|Unit C|13650.0|
/Date(1496880000000+0000)/|Unit B|6160.0|
/Date(1496880000000+0000)/|Unit B|870.8|
/Date(1496880000000+0000)/|Unit B|14750.0|
/Date(1496880000000+0000)/|Unit B|1000.0|
/Date(1498608000000+0000)/|jon flojo|2000.0|
/Date(1499126400000+0000)/|Unit F|1441.0|
/Date(1499126400000+0000)/|Unit F|1216.0|
/Date(1499126400000+0000)/|Unit F|1000.0|
/Date(1499126400000+0000)/|Unt F|14700.0|
/Date(1499126400000+0000)/|Unit E|1000.0|
/Date(1499126400000+0000)/|Unit E|14700.0|
/Date(1499126400000+0000)/|Unit D|1000.0|
/Date(1499126400000+0000)/|Unit C|1000.0|
/Date(1499126400000+0000)/|Unit C|13650.0|
/Date(1499126400000+0000)/|Unit D|14700.0|
/Date(1499126400000+0000)/|Unit E|9779.0|
/Date(1499126400000+0000)/|Unit D|4092.0|
/Date(1499126400000+0000)/|Unit E|1596.0|
/Date(1499126400000+0000)/|Unit C|2277.0|
/Date(1499126400000+0000)/|Unit D|1292.0|
/Date(1499126400000+0000)/|Unit C|912.0|
/Date(1499644800000+0000)/|Unit B|1000.0|
/Date(1499644800000+0000)/|Unit B|1140.0|
/Date(1499644800000+0000)/|Unit B|5819.0|
/Date(1499644800000+0000)/|Unit B|14700.0|
/Date(1501718400000+0000)/|Unit C|870.0|
/Date(1501718400000+0000)/|Unit D|957.0|
/Date(1501718400000+0000)/|Unit F|1131.0|
/Date(1501718400000+0000)/|Unit C|3740.0|
/Date(1501718400000+0000)/|Unit D|2340.0|
/Date(1501718400000+0000)/|Unit F|990.0|
/Date(1501718400000+0000)/|Unt F|14700.0|
/Date(1501718400000+0000)/|Unit D|14700.0|
/Date(1501718400000+0000)/|Unit C|13650.0|
/Date(1501718400000+0000)/|Unit F|1000.0|
/Date(1501718400000+0000)/|Unit C|1000.0|
/Date(1501718400000+0000)/|Unit D|1000.0|
/Date(1502064000000+0000)/|Unit E|1000.0|
/Date(1502064000000+0000)/|Unit E|14700.0|
/Date(1502064000000+0000)/|Unit E|8340.0|
/Date(1502064000000+0000)/|Unit E|1827.0|
/Date(1502841600000+0000)/|Unit B|1000.0|
/Date(1502841600000+0000)/|Unit B|14700.0|
/Date(1502841600000+0000)/|Unit B|4890.0|
/Date(1502841600000+0000)/|Unit B|1131.0|
/Date(1504310400000+0000)/|Unit A|51000.0|
/Date(1506988800000+0000)/|Unit C|1157.66|
/Date(1504396800000+0000)/|Unit C|13650.0|
/Date(1504396800000+0000)/|Unit C|1000.0|
/Date(1504396800000+0000)/|Unit C|4610.0|
/Date(1504396800000+0000)/|Unit D|992.2|
/Date(1504396800000+0000)/|Unit D|2070.0|
/Date(1504396800000+0000)/|Unit D|1000.0|
/Date(1504396800000+0000)/|Unit D|14700.0|
/Date(1504656000000+0000)/|Unit E|2149.94|
/Date(1504656000000+0000)/|Unit E|7050.0|
/Date(1504656000000+0000)/|Unit E|1000.0|
/Date(1504656000000+0000)/|Unit E|14700.0|
/Date(1504828800000+0000)/|Unit F|1000.0|
/Date(1504828800000+0000)/|Unt F|14700.0|
/Date(1504828800000+0000)/|Unit F|1510.0|
/Date(1504828800000+0000)/|Unit F|1405.73|
/Date(1504828800000+0000)/|Unit B|1000.0|
/Date(1504828800000+0000)/|Unit B|1074.97|
/Date(1504828800000+0000)/|Unit B|4920.0|
/Date(1504828800000+0000)/|Unit B|14700.0|
/Date(1507161600000+0000)/|Unit D|1209.0|
/Date(1507161600000+0000)/|Unit D|2118.0|
/Date(1507161600000+0000)/|Unit F|1488.0|
/Date(1507161600000+0000)/|Unit F|1155.0|
/Date(1507161600000+0000)/|Unit D|14700.0|
/Date(1507161600000+0000)/|Unit D|1000.0|
/Date(1507161600000+0000)/|Unt F|14700.0|
/Date(1507161600000+0000)/|Unit F|1000.0|
/Date(1507161600000+0000)/|Unit E|7768.0|
/Date(1507161600000+0000)/|Unit C|5050.0|
/Date(1507161600000+0000)/|Unit C|1395.0|
/Date(1507161600000+0000)/|Unit E|1581.0|
/Date(1507161600000+0000)/|Unit C|1000.0|
/Date(1507161600000+0000)/|Unit C|13650.0|
/Date(1507161600000+0000)/|Unit E|14700.0|
/Date(1507161600000+0000)/|Unit E|1000.0|
/Date(1507593600000+0000)/|Unit A|465.0|
/Date(1507593600000+0000)/|Unit A|1000.0|
/Date(1507593600000+0000)/|Unit A|16000.0|
/Date(1507593600000+0000)/|Unit A|3381.0|
/Date(1507593600000+0000)/|Unit B|14700.0|
/Date(1507593600000+0000)/|Unit B|1000.0|
/Date(1507593600000+0000)/|Unit B|1302.0|
/Date(1507593600000+0000)/|Unit B|5585.0|
/Date(1509926400000+0000)/|Unit E|1710.0|
/Date(1509926400000+0000)/|Unit E|7700.0|
/Date(1509926400000+0000)/|Unit D|1140.0|
/Date(1509926400000+0000)/|Unit D|2222.0|
/Date(1509926400000+0000)/|Unit D|14700.0|
/Date(1509926400000+0000)/|Unit D|1000.0|
/Date(1509926400000+0000)/|Unit E|1000.0|
/Date(1509926400000+0000)/|Unit E|14700.0|
/Date(1510012800000+0000)/|Unit F|1309.0|
/Date(1510012800000+0000)/|Unit C|1235.0|
/Date(1510012800000+0000)/|Unit C|4895.0|
/Date(1510012800000+0000)/|Unt F|14700.0|
/Date(1510012800000+0000)/|Unit C|13650.0|
/Date(1510012800000+0000)/|Unit F|1000.0|
/Date(1510012800000+0000)/|Unit C|1000.0|
/Date(1510617600000+0000)/|Unit B|5610.0|
/Date(1510617600000+0000)/|Unit B|1615.0|
/Date(1510617600000+0000)/|Unit B|1000.0|
/Date(1510617600000+0000)/|Unit B|14700.0|
/Date(1510617600000+0000)/|Unit A|2211.0|
/Date(1510617600000+0000)/|Unit A|16000.0|
/Date(1510617600000+0000)/|Unit A|1000.0|
/Date(1510617600000+0000)/|Unit A|1235.0|
/Date(1510790400000+0000)/|Unit F|1008.0|
/Date(1512259200000+0000)/|Unit D|2002.0|
/Date(1512259200000+0000)/|Unit D|880.46|
/Date(1512259200000+0000)/|Unit C|5291.0|
/Date(1512259200000+0000)/|Unit C|817.0|
/Date(1512259200000+0000)/|Unit C|1000.0|
/Date(1512259200000+0000)/|Unit D|1000.0|
/Date(1512259200000+0000)/|Unit C|13650.0|
/Date(1512259200000+0000)/|Unit D|14700.0|
/Date(1512864000000+0000)/|Unit B|5687.0|
/Date(1512864000000+0000)/|Unit B|880.46|
/Date(1512864000000+0000)/|Unit A|2233.0|
/Date(1512864000000+0000)/|Unit A|943.35|
/Date(1512864000000+0000)/|Unit A|16000.0|
/Date(1512864000000+0000)/|Unit A|1000.0|
/Date(1512864000000+0000)/|Unit B|14700.0|
/Date(1512864000000+0000)/|Unit B|1000.0|
/Date(1512864000000+0000)/|Unit E|14700.0|
/Date(1512864000000+0000)/|Unit F|1000.0|
/Date(1512864000000+0000)/|Unit E|1257.82|
/Date(1512864000000+0000)/|Unit E|7084.0|
/Date(1512864000000+0000)/|Unt F|14700.0|
/Date(1512864000000+0000)/|Unit E|1000.0|
/Date(1512864000000+0000)/|Unit F|1045.0|
/Date(1512864000000+0000)/|Unit F|1006.0|
/Date(1515369600000+0000)/|Unit F|1045.0|
/Date(1515369600000+0000)/|Unt F|14700.0|
/Date(1515369600000+0000)/|Unit F|1000.0|
/Date(1515369600000+0000)/|Unit A|1000.0|
/Date(1515369600000+0000)/|Unit D|1000.0|
/Date(1515369600000+0000)/|Unit C|13650.0|
/Date(1515369600000+0000)/|Unit D|14700.0|
/Date(1515369600000+0000)/|Unit A|16000.0|
/Date(1515369600000+0000)/|Unit E|14700.0|
/Date(1515369600000+0000)/|Unit B|14700.0|
/Date(1515369600000+0000)/|Unit C|1000.0|
