Code|Name|Type|Class|Status|Description
461|Printing & Stationery|EXPENSE|EXPENSE|ACTIVE|Expenses incurred by the entity as a result of printing and stationery
469|Rent|EXPENSE|EXPENSE|ACTIVE|The payment to lease a building or area.
473|Materials, Repairs and Maintenance|EXPENSE|EXPENSE|ACTIVE|Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.
474|Christmas Gifts|EXPENSE|EXPENSE|ACTIVE|Christmas Gifts
475|Food|EXPENSE|EXPENSE|ACTIVE|
476|Labor|EXPENSE|EXPENSE|ACTIVE|Labor for repair or services
477|Wages and Salaries|EXPENSE|EXPENSE|ACTIVE|Payment to employees in exchange for their resources
478|Superannuation|EXPENSE|EXPENSE|ACTIVE|Superannuation contributions
485|Subscriptions|EXPENSE|EXPENSE|ACTIVE|E.g. Magazines, professional bodies
489|Telephone & Internet|EXPENSE|EXPENSE|ACTIVE|Expenditure incurred from any business-related phone calls, phone lines, or internet connections
490|Depreciation Expense Building Account|DEPRECIATN|EXPENSE|ACTIVE|Depreciation Expense Building Account
493|Tranportation allowance, Travel - National|EXPENSE|EXPENSE|ACTIVE|Expenses incurred from domestic travel which has a business purpose
494|Travel - International|EXPENSE|EXPENSE|ACTIVE|Expenses incurred from international travel which has a business purpose
497|Bank Revaluations|EXPENSE|EXPENSE|ARCHIVED|Bank account revaluations due for foreign exchange rate changes
498|Unrealised Currency Gains|EXPENSE|EXPENSE|ARCHIVED|Unrealised currency gains on outstanding items
499|Realised Currency Gains|EXPENSE|EXPENSE|ARCHIVED|Gains or losses made due to currency exchange rate changes
505|Income Tax Expense|EXPENSE|EXPENSE|ACTIVE|A percentage of total earnings paid to the government.
600|Petty Cash|CURRENT|ASSET|ACTIVE|Cash in Hand
610|Accounts Receivable|CURRENT|ASSET|ACTIVE|Outstanding invoices the company has issued out to the client but has not yet received in cash at balance date.
620|Prepayments|CURRENT|ASSET|ACTIVE|An expenditure that has been paid for in advance.
630|Inventory|INVENTORY|ASSET|ACTIVE|Value of tracked items for resale.
710|Office Equipment|FIXED|ASSET|ACTIVE|Office equipment that is owned and controlled by the business
711|Less Accumulated Depreciation on Office Equipment|FIXED|ASSET|ACTIVE|The total amount of office equipment cost that has been consumed by the entity (based on the useful life)
713|Accumulated Depreciation Building Account|FIXED|ASSET|ACTIVE|Accumulated Depreciation Building Account
720|Computer Equipment|FIXED|ASSET|ACTIVE|Computer equipment that is owned and controlled by the business
721|Less Accumulated Depreciation on Computer Equipment|FIXED|ASSET|ACTIVE|The total amount of computer equipment cost that has been consumed by the business (based on the useful life)
749|Building Asset|FIXED|ASSET|ACTIVE|Building Asset
750|Building Improvements|FIXED|ASSET|ACTIVE|Building Improvements
800|Accounts Payable|CURRLIAB|LIABILITY|ACTIVE|Outstanding invoices the company has received from suppliers but has not yet paid at balance date
801|Unpaid Expense Claims|CURRLIAB|LIABILITY|ACTIVE|Expense claims typically made by employees/shareholder employees still outstanding.
803|Wages Payable|CURRLIAB|LIABILITY|ACTIVE|Xero automatically updates this account for payroll entries created using Payroll and will store the payroll amount to be paid to the employee for the pay run. This account enables you to maintain separate accounts for employee Wages Payable amounts and Accounts Payable amounts
820|Sales Tax|CURRLIAB|LIABILITY|ACTIVE|The balance in this account represents Sales Tax owing to or from your tax authority. At the end of the tax period, it is this account that should be used to code against either the 'refunds from' or 'payments to' your tax authority that will appear on the bank statement. Xero has been designed to use only one sales tax account to track sales taxes on income and expenses, so there is no need to add any new sales tax accounts to Xero.
825|Employee Tax Payable|CURRLIAB|LIABILITY|ACTIVE|The amount of tax that has been deducted from wages or salaries paid to employes and is due to be paid
826|Superannuation Payable|CURRLIAB|LIABILITY|ACTIVE|The amount of superannuation that is due to be paid
830|Income Tax Payable|CURRLIAB|LIABILITY|ARCHIVED|The amount of income tax that is due to be paid, also resident withholding tax paid on interest received.
840|Historical Adjustment|CURRLIAB|LIABILITY|ACTIVE|For accountant adjustments
850|Suspense|CURRLIAB|LIABILITY|ACTIVE|An entry that allows an unknown transaction to be entered, so the accounts can still be worked on in balance and the entry can be dealt with later.
860|Rounding|CURRLIAB|LIABILITY|ACTIVE|An adjustment entry to allow for rounding
877|Tracking Transfers|CURRLIAB|LIABILITY|ACTIVE|Transfers between tracking categories
880|Owner A Drawings|CURRLIAB|LIABILITY|ACTIVE|Withdrawals by the owners
881|Owner A Funds Introduced|CURRLIAB|LIABILITY|ACTIVE|Funds contributed by the owner
900|Loan|TERMLIAB|LIABILITY|ACTIVE|Money that has been borrowed from a creditor
930|Payment to Owners|EXPENSE|EXPENSE|ACTIVE|
960|Retained Earnings|EQUITY|EQUITY|ACTIVE|Do not Use
970|Owner A Share Capital|EQUITY|EQUITY|ACTIVE|The value of shares purchased by the shareholders
990|Capital Equity Building|EQUITY|EQUITY|ACTIVE|Capital Equity Building
