Type|InvoiceNumber|Date|Contact|Description|AccountCode|Quantity|UnitAmount|LineAmount|InvoiceTotal|Status
Sale|INV-0052|/Date(1456790400000+0000)/|Unit E|Water Unit E|200|1.0|1215.0|1215.0|1215.0|PAID
Sale|INV-0042|/Date(1456790400000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0036|/Date(1456790400000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0062|/Date(1456790400000+0000)/|Unit E|Electricity Unit E|200|1.0|7722.0|7722.0|7722.0|VOIDED
Sale|INV-0076|/Date(1459296000000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0075|/Date(1459296000000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0070|/Date(1459296000000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0069|/Date(1459296000000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0064|/Date(1456790400000+0000)/|Unit C|Electricity Unit C|200|1.0|3050.0|3050.0|3050.0|PAID
Sale|INV-0063|/Date(1456790400000+0000)/|Unit D|Electricity Unit D|200|1.0|2010.0|2010.0|2010.0|PAID
Sale|INV-0051|/Date(1456790400000+0000)/|Unit D|Water Unit D|200|1.0|790.0|790.0|790.0|PAID
Sale|INV-0050|/Date(1456790400000+0000)/|Unit C|Water Unit C|200|1.0|850.0|850.0|850.0|PAID
Sale|INV-0066|/Date(1457222400000+0000)/|ElectricityE|Electricity|200|1.0|7140.0|7140.0|7140.0|VOIDED
Sale|INV-0067|/Date(1459296000000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|VOIDED
Sale|INV-0068|/Date(1459296000000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|VOIDED
Sale|INV-0071|/Date(1459296000000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|VOIDED
Sale|INV-0072|/Date(1459296000000+0000)/|Unit F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|VOIDED
Sale|INV-0073|/Date(1459296000000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|VOIDED
Sale|INV-0074|/Date(1459296000000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|VOIDED
Sale|INV-0077|/Date(1459296000000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|VOIDED
Sale|INV-0078|/Date(1459296000000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|VOIDED
Sale|INV-0044|/Date(1456790400000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|DELETED
Sale|INV-0040|/Date(1456790400000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|DELETED
Sale|INV-0100|/Date(1459468800000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|DELETED
Sale|INV-0093|/Date(1459468800000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|DELETED
Sale|INV-0099|/Date(1459468800000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0092|/Date(1459468800000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0053|/Date(1456790400000+0000)/|Unit F|Water Unit F|200|1.0|364.0|364.0|364.0|PAID
Sale|INV-0061|/Date(1456790400000+0000)/|Unit F|Electricity Unit F|200|1.0|370.0|370.0|370.0|PAID
Sale|INV-0103|/Date(1459555200000+0000)/|Unit E|Electricity Unit E|200|1.0|7140.0|7140.0|7140.0|PAID
Sale|INV-0101|/Date(1459468800000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0095|/Date(1459468800000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0102|/Date(1459468800000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0096|/Date(1459468800000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0065|/Date(1456790400000+0000)/|Unit B|Electricity Unit B|200|1.0|3800.0|3800.0|3800.0|PAID
Sale|INV-0060|/Date(1456790400000+0000)/|Unit A|Electricity Unit A|200|1.0|2220.0|2220.0|2220.0|PAID
Sale|INV-0049|/Date(1456790400000+0000)/|Unit B|Water Unit B|200|1.0|728.88|728.88|728.88|PAID
Sale|INV-0048|/Date(1456790400000+0000)/|Unit A|Water Unit A|200|1.0|728.88|728.88|728.88|PAID
Sale|INV-0086|/Date(1459468800000+0000)/|Unit E|Water Unit E|200|1.0|1387.0|1387.0|1387.0|PAID
Sale|INV-0097|/Date(1459468800000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0091|/Date(1459468800000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0090|/Date(1459468800000+0000)/|Unit A|Water Unit A|200|1.0|724.08|724.08|724.08|PAID
Sale|INV-0084|/Date(1459468800000+0000)/|Unit A|Electricity Unit A|200|1.0|2784.93|2784.93|2784.93|PAID
Sale|INV-0081|/Date(1459468800000+0000)/|Unit D|Electricity Unit D|200|1.0|2995.91|2995.91|2995.91|PAID
Sale|INV-0087|/Date(1459468800000+0000)/|Unit D|Water Unit D|200|1.0|784.0|784.0|784.0|PAID
Sale|INV-0106|/Date(1462060800000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0113|/Date(1462060800000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0111|/Date(1462060800000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0110|/Date(1462060800000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0104|/Date(1462060800000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0098|/Date(1459468800000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0094|/Date(1459468800000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0088|/Date(1459468800000+0000)/|Unit C|Water Unit C|200|1.0|905.1|905.1|905.1|PAID
Sale|INV-0082|/Date(1459468800000+0000)/|Unit C|Electricity Unit C|200|1.0|3249.92|3249.92|3249.92|PAID
Sale|INV-0089|/Date(1459468800000+0000)/|Unit B|Water Unit B|200|1.0|844.76|844.76|844.76|PAID
Sale|INV-0083|/Date(1459468800000+0000)/|Unit B|Electricity Unit B|200|1.0|4768.14|4768.14|4768.14|PAID
Sale|INV-0080|/Date(1459468800000+0000)/|Unit E|Electricity Unit E|200|1.0|9747.27|9747.27|9747.27|PAID
Sale|INV-0107|/Date(1462060800000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0114|/Date(1462060800000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0120|/Date(1462060800000+0000)/|Unit E|Water Unit E|200|1.0|1380.0|1380.0|1380.0|PAID
Sale|INV-0105|/Date(1462060800000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0116|/Date(1462060800000+0000)/|Unit A|Water Unit A|200|1.0|720.0|720.0|720.0|PAID
Sale|INV-0085|/Date(1459468800000+0000)/|Unit F|Water Unit F|200|1.0|422.0|422.0|422.0|PAID
Sale|INV-0079|/Date(1459468800000+0000)/|Unit F|Electricity Unit F|200|1.0|369.21|369.21|369.21|PAID
Sale|INV-0109|/Date(1462060800000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0115|/Date(1462060800000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0125|/Date(1462060800000+0000)/|Unit D|Electricity Unit D|200|1.0|2250.0|2250.0|2250.0|PAID
Sale|INV-0119|/Date(1462060800000+0000)/|Unit D|Water Unit D|200|1.0|780.0|780.0|780.0|PAID
Sale|INV-0122|/Date(1462060800000+0000)/|Unit A|Electricity Unit A|200|1.0|2630.0|2630.0|2630.0|PAID
Sale|INV-0142|/Date(1464739200000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0149|/Date(1464739200000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0126|/Date(1462060800000+0000)/|Unit E|Electricity Unit E|200|1.0|9520.0|9520.0|9520.0|PAID
Sale|INV-0141|/Date(1464739200000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0148|/Date(1464739200000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0124|/Date(1462060800000+0000)/|Unit C|Electricity Unit C|200|1.0|3190.0|3190.0|3190.0|PAID
Sale|INV-0118|/Date(1462060800000+0000)/|Unit C|Water Unit C|200|1.0|900.0|900.0|900.0|PAID
Sale|INV-0143|/Date(1464739200000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0147|/Date(1464739200000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0150|/Date(1464739200000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0144|/Date(1464739200000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0123|/Date(1462060800000+0000)/|Unit B|Electricity Unit B|200|1.0|4380.0|4380.0|4380.0|PAID
Sale|INV-0117|/Date(1462060800000+0000)/|Unit B|Water Unit B|200|1.0|780.0|780.0|780.0|PAID
Sale|INV-0145|/Date(1464739200000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0151|/Date(1464739200000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0140|/Date(1464739200000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0146|/Date(1464739200000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0134|/Date(1464739200000+0000)/|Unit F|Water Unit F|200|1.0|534.0|534.0|534.0|PAID
Sale|INV-0121|/Date(1462060800000+0000)/|Unit F|Water Unit F|200|1.0|360.0|360.0|360.0|PAID
Sale|INV-0127|/Date(1462060800000+0000)/|Unit F|Electricity Unit F|200|1.0|760.0|760.0|760.0|PAID
Sale|INV-0135|/Date(1464739200000+0000)/|Unit E|Water Unit E|200|1.0|2823.0|2823.0|2823.0|PAID
Sale|INV-0136|/Date(1464739200000+0000)/|Unit D|Water Unit D|200|1.0|1068.0|1068.0|1068.0|PAID
Sale|INV-0137|/Date(1464739200000+0000)/|Unit C|Water Unit C|200|1.0|686.0|686.0|686.0|PAID
Sale|INV-0112|/Date(1462060800000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0108|/Date(1462060800000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0131|/Date(1464739200000+0000)/|Unit C|Electricity Unit C|200|1.0|3871.18|3871.18|3871.18|PAID
Sale|INV-0129|/Date(1464739200000+0000)/|Unit E|Electricity Unit E|200|1.0|8763.27|8763.27|8763.27|PAID
Sale|INV-0130|/Date(1464739200000+0000)/|Unit D|Electricity Unit D|200|1.0|2406.18|2406.18|2406.18|PAID
Sale|INV-0162|/Date(1467331200000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0161|/Date(1467331200000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0155|/Date(1467331200000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0154|/Date(1467331200000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0128|/Date(1464739200000+0000)/|Unit F|Electricity Unit F|200|1.0|1019.9|1019.9|1019.9|PAID
Sale|INV-0163|/Date(1467331200000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0159|/Date(1467331200000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0153|/Date(1467331200000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0157|/Date(1467331200000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0132|/Date(1464739200000+0000)/|Unit B|Electricity Unit B|200|1.0|4554.92|4554.92|4554.92|PAID
Sale|INV-0138|/Date(1464739200000+0000)/|Unit B|Water Unit B|200|1.0|992.0|992.0|992.0|PAID
Sale|INV-0168|/Date(1467331200000+0000)/|Unit E|Water Unit E|200|1.0|1512.0|1512.0|1512.0|PAID
Sale|INV-0158|/Date(1467331200000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0152|/Date(1467331200000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0139|/Date(1464739200000+0000)/|Unit A|Water Unit A|200|1.0|915.72|915.72|915.72|PAID
Sale|INV-0133|/Date(1464739200000+0000)/|Unit A|Electricity Unit A|200|1.0|2495.0|2495.0|2495.0|PAID
Sale|INV-0169|/Date(1467331200000+0000)/|Unit F|Water Unit F|200|1.0|693.0|693.0|693.0|PAID
Sale|INV-0184|/Date(1470009600000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0180|/Date(1470009600000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0175|/Date(1467331200000+0000)/|Unit F|Electricity Unit F|200|1.0|1192.0|1192.0|1192.0|PAID
Sale|INV-0174|/Date(1467331200000+0000)/|Unit E|Electricity Unit E|200|1.0|8399.0|8399.0|8399.0|PAID
Sale|INV-0167|/Date(1467331200000+0000)/|Unit D|Water Unit D|200|1.0|819.0|819.0|819.0|PAID
Sale|INV-0173|/Date(1467331200000+0000)/|Unit D|Electricity Unit D|200|1.0|2156.0|2156.0|2156.0|PAID
Sale|INV-0172|/Date(1467331200000+0000)/|Unit C|Electricity Unit C|200|1.0|3857.0|3857.0|3857.0|PAID
Sale|INV-0166|/Date(1467331200000+0000)/|Unit C|Water Unit C|200|1.0|945.0|945.0|945.0|PAID
Sale|INV-0160|/Date(1467331200000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0156|/Date(1467331200000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0178|/Date(1470009600000+0000)/|Unit E|Rent Unit E|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0199|/Date(1470009600000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0197|/Date(1470009600000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0183|/Date(1470009600000+0000)/|Unit E|Dues Unit E|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0171|/Date(1467331200000+0000)/|Unit B|Electricity Unit B|200|1.0|4521.0|4521.0|4521.0|PAID
Sale|INV-0165|/Date(1467331200000+0000)/|Unit B|Water Unit B|200|1.0|819.0|819.0|819.0|PAID
Sale|INV-0177|/Date(1470009600000+0000)/|Unit B|Rent Unit B|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0181|/Date(1470009600000+0000)/|Unit B|Dues Unit B|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0198|/Date(1470009600000+0000)/|Unit A|Dues Unit A|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0176|/Date(1470009600000+0000)/|Unit A|Rent Unit A|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0170|/Date(1467331200000+0000)/|Unit A|Electricity Unit A|200|1.0|5402.0|5402.0|5402.0|PAID
Sale|INV-0164|/Date(1467331200000+0000)/|Unit A|Water Unit A|200|1.0|1134.0|1134.0|1134.0|PAID
Sale|INV-0219|/Date(1472688000000+0000)/|Unt F|Rent Unit F|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0213|/Date(1472688000000+0000)/|Unit F|Dues Unit F|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0196|/Date(1470009600000+0000)/|Unit F|Electricity Unit F|200|1.0|1594.8|1594.8|1594.8|PAID
Sale|INV-0190|/Date(1470009600000+0000)/|Unit F|Water Unit F|200|1.0|1024.0|1024.0|1024.0|PAID
Sale|INV-0221|/Date(1472688000000+0000)/|Unit D|Rent Unit D|200|1.0|14000.0|14000.0|14000.0|PAID
Sale|INV-0215|/Date(1472688000000+0000)/|Unit D|Dues Unit D|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0188|/Date(1470009600000+0000)/|Unit D|Water Unit D|200|1.0|896.0|896.0|896.0|PAID
Sale|INV-0194|/Date(1470009600000+0000)/|Unit D|Electricity Unit D|200|1.0|2092.54|2092.54|2092.54|PAID
Sale|INV-0179|/Date(1470009600000+0000)/|Unit C|Rent Unit C|200|1.0|13000.0|13000.0|13000.0|PAID
Sale|INV-0182|/Date(1470009600000+0000)/|Unit C|Dues Unit C|200|1.0|1000.0|1000.0|1000.0|PAID
Sale|INV-0187|/Date(1470009600000+0000)/|Unit C|Water Unit C|200|1.0|832.0|832.0|832.0|PAID
